id;start;end;time;activity
1;240;540;300;1
1;540;570;30;133
1;570;1050;480;25
1;1050;1080;30;133
1;1080;1740;600;1
2;240;840;600;1
2;840;855;15;100
2;855;855;5;52
2;855;870;15;100
2;870;900;30;1
2;900;1005;105;121
2;1005;1005;5;52
2;1005;1110;105;121
2;1110;1740;560;1
3;240;510;270;1
3;510;525;15;121
3;525;655;130;13
3;655;665;10;121
3;665;725;60;13
3;725;735;10;121
3;735;795;60;13
3;795;810;15;121
3;810;860;50;1
3;860;870;10;121
3;870;935;65;13
3;935;940;5;121
3;940;1070;130;13
3;1070;1095;25;121
3;1095;1125;30;33
3;1125;1135;10;121
3;1135;1740;545;1
4;240;570;330;1
4;570;575;5;121
4;575;765;190;51
4;765;770;5;121
4;770;1740;910;1
5;240;1050;810;1
5;1050;1080;30;121
5;1080;1170;90;32
5;1170;1200;30;121
5;1200;1740;480;1
6;240;480;240;1
6;480;500;20;133
6;500;600;100;25
6;600;630;30;133
6;630;800;170;1
6;800;820;20;133
6;820;950;130;25
6;950;960;10;133
6;960;1020;60;33
6;1020;1080;60;100
6;1080;1740;600;1
7;240;540;300;1
7;540;545;5;100
7;545;545;5;52
7;545;550;5;100
7;550;600;50;1
7;600;605;5;100
7;605;645;40;32
7;645;645;5;100
7;645;650;5;33
7;650;660;10;100
7;660;780;120;1
7;780;785;5;100
7;785;785;5;52
7;785;790;5;100
7;790;840;50;1
7;840;865;25;133
7;865;930;65;41
7;930;955;25;133
7;955;1110;155;1
7;1110;1115;5;100
7;1115;1115;5;52
7;1115;1120;5;100
7;1120;1740;540;1
8;240;520;280;1
8;520;525;5;121
8;525;535;10;61
8;535;560;25;121
8;560;720;160;11
8;720;725;5;100
8;725;795;70;53
8;795;800;5;100
8;800;1140;340;11
8;1140;1155;15;121
8;1155;1740;525;1
9;240;510;270;1
9;510;540;30;133
9;540;720;180;11
9;720;730;10;100
9;730;740;10;33
9;740;750;10;100
9;750;1035;285;11
9;1035;1065;30;133
9;1065;1075;10;64
9;1075;1085;10;100
9;1085;1740;595;1
10;240;495;255;1
10;495;530;15;131
10;495;530;20;133
10;530;690;160;51
10;690;720;20;133
10;690;720;10;131
10;720;885;165;1
10;885;915;30;133
10;915;990;75;32
10;990;1020;30;133
10;1020;1035;15;1
10;1035;1065;30;133
10;1065;1140;75;51
10;1140;1170;30;133
10;1170;1740;510;1
11;240;840;600;1
11;840;910;70;100
11;910;910;5;52
11;910;975;65;131
11;975;1110;135;1
11;1110;1170;25;131
11;1110;1170;35;133
11;1170;1350;180;54
11;1350;1410;35;133
11;1350;1410;25;131
11;1410;1740;265;1
12;240;690;450;1
12;690;720;30;133
12;720;810;90;53
12;810;825;15;100
12;825;825;5;30
12;825;825;5;100
12;825;830;5;30
12;830;855;25;100
12;855;990;135;51
12;990;1035;45;100
12;1035;1035;5;52
12;1035;1080;45;131
12;1080;1740;585;1
13;240;390;150;1
13;390;590;120;139
13;390;590;60;151
13;390;590;20;121
13;590;790;200;13
13;790;795;5;100
13;795;850;55;53
13;850;855;5;100
13;855;1095;240;13
13;1095;1290;15;121
13;1095;1290;60;151
13;1095;1290;120;139
13;1290;1740;390;1
14;240;630;390;1
14;630;635;5;100
14;635;640;5;33
14;640;660;20;100
14;660;660;5;52
14;660;685;25;100
14;685;1200;515;1
14;1200;1245;45;121
14;1245;1360;115;53
14;1360;1380;20;121
14;1380;1740;295;1
15;240;480;240;1
15;480;495;15;121
15;495;720;225;11
15;720;755;35;100
15;755;825;70;53
15;825;855;30;100
15;855;1110;255;11
15;1110;1125;15;121
15;1125;1130;5;35
15;1130;1140;10;121
15;1140;1740;540;1
16;240;455;215;1
16;455;475;20;133
16;475;950;475;11
16;950;1000;50;133
16;1000;1080;80;51
16;1080;1110;30;133
16;1110;1740;570;1
17;240;560;320;1
17;560;565;5;100
17;565;565;5;64
17;565;600;35;133
17;600;670;70;51
17;670;700;30;133
17;700;960;260;1
17;960;965;5;100
17;965;985;20;33
17;985;990;5;100
17;990;1740;685;1
18;240;585;345;1
18;585;595;10;121
18;595;645;50;32
18;645;655;10;121
18;655;750;95;1
18;750;770;20;121
18;770;1265;495;11
18;1265;1285;20;121
18;1285;1740;395;1
19;240;1020;780;1
19;1020;1065;45;131
19;1065;1185;120;54
19;1185;1210;25;131
19;1210;1740;470;1
20;240;270;30;1
20;270;360;90;121
20;360;370;10;33
20;370;635;265;121
20;635;695;60;32
20;695;1020;325;121
20;1020;1740;660;1
21;240;450;210;1
21;450;460;10;121
21;460;960;500;11
21;960;970;10;121
21;970;1740;710;1
22;240;320;80;1
22;320;350;30;121
22;350;845;495;11
22;845;870;25;121
22;870;960;90;1
22;960;965;5;100
22;965;990;25;33
22;990;995;5;100
22;995;1740;685;1
23;240;660;420;1
23;660;665;5;121
23;665;680;15;32
23;680;740;60;121
23;740;945;205;91
23;945;965;20;100
23;965;1080;115;91
23;1080;1130;50;121
23;1130;1740;550;1
24;240;450;210;1
24;450;470;20;100
24;470;990;520;23
24;990;1010;20;100
24;1010;1740;670;1
25;240;500;260;1
25;500;515;15;100
25;515;1080;565;22
25;1080;1100;20;100
25;1100;1740;580;1
26;240;390;150;1
26;390;420;30;121
26;420;465;45;11
26;465;500;35;121
26;500;630;130;13
26;630;640;10;121
26;640;690;50;13
26;690;725;35;121
26;725;730;5;11
26;730;735;5;100
26;735;795;60;53
26;795;800;5;100
26;800;900;100;11
26;900;935;35;121
26;935;960;25;13
26;960;1005;45;121
26;1005;1065;60;13
26;1065;1090;25;121
26;1090;1740;590;1
27;240;450;210;1
27;450;470;20;121
27;470;1010;540;11
27;1010;1040;30;121
27;1040;1050;10;42
27;1050;1065;15;121
27;1065;1110;45;1
27;1110;1130;20;121
27;1130;1140;10;64
27;1140;1155;15;121
27;1155;1215;60;54
27;1215;1230;15;121
27;1230;1740;450;1
28;240;465;225;1
28;465;540;75;121
28;540;1230;690;13
28;1230;1305;75;121
28;1305;1740;375;1
29;240;465;225;1
29;465;525;60;121
29;525;1050;525;13
29;1050;1065;15;121
29;1065;1140;75;32
29;1140;1160;20;121
29;1160;1740;520;1
30;240;450;210;1
30;450;470;20;131
30;470;1020;550;24
30;1020;1040;20;131
30;1040;1740;640;1
31;240;450;210;1
31;450;460;10;121
31;460;460;5;64
31;460;495;35;121
31;495;1035;540;11
31;1035;1065;30;121
31;1065;1065;5;61
31;1065;1075;10;121
31;1075;1740;595;1
32;240;580;340;1
32;580;590;10;131
32;590;660;70;41
32;660;680;20;131
32;680;1740;1000;1
33;240;660;420;1
33;660;735;75;122
33;735;840;105;53
33;840;960;120;100
33;960;960;5;52
33;960;1080;120;122
33;1080;1110;30;1
33;1110;1150;40;131
33;1150;1230;80;51
33;1230;1275;20;131
33;1230;1275;25;133
33;1275;1740;400;1
34;240;495;255;1
34;495;510;15;121
34;510;600;90;41
34;600;605;5;121
34;605;615;10;33
34;615;630;15;121
34;630;1740;1050;1
35;240;480;240;1
35;480;500;20;100
35;500;1035;535;11
35;1035;1055;20;100
35;1055;1740;625;1
36;240;500;260;1
36;500;510;10;100
36;510;515;5;61
36;515;520;5;111
36;520;795;275;11
36;795;795;5;111
36;795;830;35;53
36;830;835;5;111
36;835;975;140;13
36;975;980;5;111
36;980;1010;30;1
36;1010;1030;20;121
36;1030;1060;30;41
36;1060;1080;20;121
36;1080;1110;30;33
36;1110;1115;5;121
36;1115;1740;560;1
37;240;360;120;1
37;360;390;30;121
37;390;1140;750;11
37;1140;1160;20;121
37;1160;1200;40;1
37;1200;1215;15;121
37;1215;1260;45;32
37;1260;1275;15;121
37;1275;1380;105;1
37;1380;1400;20;100
37;1400;1400;5;52
37;1400;1420;20;100
37;1420;1740;255;1
38;240;510;270;1
38;510;515;5;121
38;515;530;15;11
38;530;560;30;133
38;560;630;70;13
38;630;645;15;100
38;645;650;5;42
38;650;660;10;133
38;660;760;100;11
38;760;765;5;121
38;765;840;75;1
38;840;845;5;122
38;845;1110;265;11
38;1110;1130;20;100
38;1130;1740;550;1
39;240;835;595;1
39;835;840;5;121
39;840;840;5;61
39;840;845;5;121
39;845;900;55;1
39;900;930;30;121
39;930;1080;150;41
39;1080;1110;30;121
39;1110;1115;5;1
39;1115;1120;5;121
39;1120;1125;5;33
39;1125;1130;5;121
39;1130;1740;545;1
40;240;450;210;1
40;450;460;10;121
40;460;475;15;32
40;475;495;20;121
40;495;750;255;11
40;750;755;5;121
40;755;810;55;53
40;810;815;5;121
40;815;1095;280;11
40;1095;1125;30;121
40;1125;1260;135;51
40;1260;1270;10;121
40;1270;1740;410;1
41;240;450;210;1
41;450;460;10;111
41;460;620;160;11
41;620;625;5;111
41;625;795;170;1
41;795;800;5;121
41;800;905;105;11
41;905;910;5;121
41;910;945;35;1
41;945;945;5;121
41;945;950;5;33
41;950;965;15;121
41;965;1120;155;51
41;1120;1135;15;121
41;1135;1190;55;1
41;1190;1195;5;121
41;1195;1200;5;64
41;1200;1205;5;121
41;1205;1225;20;1
41;1225;1230;5;121
41;1230;1230;5;74
41;1230;1235;5;121
41;1235;1740;435;1
42;240;600;360;1
42;600;615;15;100
42;615;620;5;33
42;620;630;10;100
42;630;780;150;1
42;780;810;30;121
42;810;1020;210;42
42;1020;1065;45;121
42;1065;1155;90;54
42;1155;1170;15;121
42;1170;1380;210;53
42;1380;1410;30;121
42;1410;1740;270;1
43;240;480;240;1
43;480;490;10;111
43;490;750;260;11
43;750;760;10;111
43;760;840;80;1
43;840;850;10;111
43;850;1140;290;11
43;1140;1150;10;111
43;1150;1740;530;1
44;240;240;5;1
44;240;260;20;121
44;260;780;520;11
44;780;800;20;121
44;800;1740;875;1
45;240;510;270;1
45;510;540;30;133
45;540;1020;480;25
45;1020;1050;30;133
45;1050;1740;630;1
46;240;515;275;1
46;515;520;5;100
46;520;990;470;22
46;990;995;5;100
46;995;1740;685;1
